Symbol,Date,EMA10,EMA20,EMA50,Close
ABB,2020-10-27,909.3646,909.3646,909.3646,909.3646
ABB,2020-10-28,905.3625,907.2683,908.5014,887.3531
ABB,2020-10-29,898.4862,903.4849,906.8952,867.543
ABB,2020-10-30,894.0875,900.7048,905.6167,874.2932
ABB,2020-11-02,887.278,896.5076,903.6959,856.6351
ABB,2020-11-03,882.0178,892.8733,901.9175,858.347
ABB,2020-11-04,877.963,889.7155,900.2625,859.7166
ABB,2020-11-05,877.3758,888.2887,899.2614,874.7334
ABB,2020-11-06,884.6683,891.0692,899.976,917.4843
ABB,2020-11-09,892.6715,894.6517,901.1019,928.6857
ABB,2020-11-10,899.1217,897.8418,902.1625,928.1476
ABB,2020-11-11,903.5987,900.3088,903.0089,923.7454
ABB,2020-11-12,911.4328,904.7257,904.7217,946.6862
ABB,2020-11-13,923.6322,911.7546,907.6161,978.5294
ABB,2020-11-14,931.1055,916.8004,909.8561,964.7355
ABB,2020-11-17,936.6331,921.0582,911.8817,961.5071
ABB,2020-11-18,958.2401,933.8595,917.5126,1055.4714
ABB,2020-11-19,969.8087,942.2412,921.605,1021.8674
ABB,2020-11-20,991.9916,956.4863,928.2799,1091.8148
ABB,2020-11-23,1002.4395,965.3404,933.0318,1049.455
ABB,2020-11-24,1010.9077,973.3094,937.5802,1049.0148
ABB,2020-11-25,1009.512,976.1591,940.1547,1003.2311
ABB,2020-11-26,1017.5214,983.531,944.6021,1053.5637
ABB,2020-11-27,1023.5053,989.9026,948.7524,1050.4332
ABB,2020-12-01,1039.8384,1001.6583,955.2067,1113.3372
ABB,2020-12-02,1062.5844,1017.2091,963.4316,1164.9414
ABB,2020-12-03,1077.8509,1029.5272,970.6127,1146.5499
ABB,2020-12-04,1087.2199,1039.0371,976.8389,1129.3806
ABB,2020-12-07,1094.9744,1047.6878,982.8401,1129.8699
ABB,2020-12-08,1101.2925,1055.5008,988.6002,1129.7235
ABB,2020-12-09,1106.524,1062.6022,994.1479,1130.0657
ABB,2020-12-10,1111.4535,1069.3673,999.618,1133.6364
ABB,2020-12-11,1118.5817,1077.1094,1005.5412,1150.6586
ABB,2020-12-14,1121.7814,1082.7351,1010.6643,1136.1801
ABB,2020-12-15,1123.1453,1087.1683,1015.316,1129.2831
ABB,2020-12-16,1131.4739,1094.9572,1021.341,1168.9525
ABB,2020-12-17,1145.0117,1105.5262,1028.5798,1205.9315
ABB,2020-12-18,1158.6227,1116.4163,1036.0815,1219.8722
ABB,2020-12-21,1164.1294,1123.3204,1042.0747,1188.9095
ABB,2020-12-22,1163.361,1126.8045,1046.6955,1159.9034
ABB,2020-12-23,1165.4627,1131.387,1051.7239,1174.92
ABB,2020-12-24,1168.1694,1136.0501,1056.768,1180.3496
ABB,2020-12-28,1172.3405,1141.2939,1062.0364,1191.1107
ABB,2020-12-29,1173.1742,1144.6874,1066.5418,1176.9255
ABB,2020-12-30,1174.8968,1148.3028,1071.095,1182.6484
ABB,2020-12-31,1176.8664,1151.8673,1075.5905,1185.73
ABB,2021-01-01,1182.151,1157.0162,1080.7019,1205.9315
ABB,2021-01-04,1191.8464,1164.4886,1086.7715,1235.4758
ABB,2021-01-05,1205.2396,1174.1096,1093.7808,1265.5089
ABB,2021-01-06,1216.9181,1183.1916,1100.6706,1269.4712
ABB,2021-01-07,1227.3626,1191.8746,1107.4821,1274.3628
ABB,2021-01-08,1238.1047,1200.8812,1114.5002,1286.4445
ABB,2021-01-11,1243.6744,1207.3438,1120.5487,1268.7377
ABB,2021-01-12,1243.3221,1210.6193,1125.3012,1241.7368
ABB,2021-01-13,1245.026,1214.6264,1130.297,1252.6936
ABB,2021-01-14,1245.3351,1217.6835,1134.8628,1246.7262
ABB,2021-01-15,1247.4112,1221.4045,1139.6429,1256.7535
ABB,2021-01-18,1259.7553,1230.3472,1146.5315,1315.3038
ABB,2021-01-19,1278.1705,1242.7941,1154.9436,1361.0388
ABB,2021-01-20,1293.5665,1254.2278,1163.0967,1362.8485
ABB,2021-01-21,1303.3529,1263.1006,1170.324,1347.3917
ABB,2021-01-22,1311.4577,1271.1795,1177.2889,1347.9296
ABB,2021-01-25,1313.9891,1276.3415,1183.0964,1325.3802
ABB,2021-01-27,1322.1078,1284.1797,1189.9805,1358.6421
ABB,2021-01-28,1322.7028,1288.1035,1195.2903,1325.3802
ABB,2021-01-29,1329.1483,1294.7749,1201.6771,1358.153
ABB,2021-02-01,1333.4702,1300.3124,1207.6082,1352.9188
ABB,2021-02-02,1348.1143,1311.141,1215.7025,1414.0129
ABB,2021-02-03,1360.4605,1321.1293,1223.558,1416.0182
ABB,2021-02-04,1383.1195,1336.7442,1233.8139,1485.0852
ABB,2021-02-05,1397.6122,1348.7523,1242.7949,1462.8292
ABB,2021-02-08,1407.0953,1358.3729,1250.9116,1449.7693
ABB,2021-02-09,1410.7098,1364.9065,1257.816,1426.9751
ABB,2021-02-10,1411.2392,1369.546,1263.926,1413.6213
ABB,2021-02-11,1407.8214,1371.7265,1268.9659,1392.4415
ABB,2021-02-12,1412.7624,1377.7523,1275.4769,1434.9969
ABB,2021-02-15,1418.1035,1383.8843,1282.0126,1442.1385
ABB,2021-02-16,1427.1604,1391.8873,1289.303,1467.9163
ABB,2021-02-17,1434.2949,1398.9838,1296.248,1466.4
ABB,2021-02-18,1446.162,1408.5628,1304.2211,1499.5638
ABB,2021-02-19,1453.8703,1416.1814,1311.45,1488.558
ABB,2021-02-22,1448.5801,1416.9998,1315.8941,1424.774
