Date,VIX
2026-01-19,11.83
2026-01-20,12.73
2026-01-21,13.78
2026-01-22,13.35
2026-01-23,14.19
2026-01-27,14.45
2026-01-28,13.53
2026-01-29,13.37
2026-01-30,13.63
2026-02-01,15.1
2026-02-02,13.87
2026-02-03,12.9
2026-02-04,12.25
2026-02-05,12.17
2026-02-06,11.94
2026-02-09,12.19
2026-02-10,11.67
2026-02-11,11.55
2026-02-12,11.73
2026-02-13,13.29
2026-02-16,13.33
2026-02-17,12.67
2026-02-18,12.22
2026-02-19,13.46
2026-02-20,14.36
2026-02-23,14.17
2026-02-24,14.15
2026-02-25,13.49
2026-02-26,13.06
2026-02-27,13.7
2026-03-02,17.13
2026-03-04,21.14
2026-03-05,17.86
2026-03-06,19.88
2026-03-09,23.36
2026-03-10,18.91
2026-03-11,21.06
2026-03-12,21.52
2026-03-13,22.65
2026-03-16,21.6
2026-03-17,19.79
2026-03-18,18.72
2026-03-19,22.8
2026-03-20,22.81
2026-03-23,26.73
2026-03-24,24.74
2026-03-25,24.64
2026-03-27,26.8
2026-03-30,27.89
2026-04-01,25.01
2026-04-02,25.52
2026-04-06,25.47
2026-04-07,24.7
2026-04-08,19.7
2026-04-09,20.43
2026-04-10,18.85
2026-04-13,20.5
2026-04-15,18.67
2026-04-16,18.09
2026-04-17,17.21
2026-04-20,18.79
2026-04-21,17.53
2026-04-22,18.299999237060547
2026-04-23,18.59000015258789
2026-04-24,19.709999084472656
