Date,Symbol,DelivPct
2026-03-23,20MICRONS,55.27
2026-03-23,21STCENMGM,82.59
2026-03-23,360ONE,54.63
2026-03-23,3IINFOLTD,74.78
2026-03-23,3MINDIA,38.24
2026-03-23,3PLAND,98.38
2026-03-23,5PAISA,52.57
2026-03-23,63MOONS,49.81
2026-03-23,AAATECH,75.53
2026-03-23,AADHARHFC,43.35
2026-03-23,AAREYDRUGS,69.58
2026-03-23,AARNAV,46.94
2026-03-23,AARON,61.59
2026-03-23,AARTECH,65.62
2026-03-23,AARTIDRUGS,57.47
2026-03-23,AARTIIND,47.43
2026-03-23,AARTIPHARM,51.14
2026-03-23,AARTISURF,65.27
2026-03-23,AARVI,37.66
2026-03-23,AAVAS,71.74
2026-03-23,ABB,34.86
2026-03-23,ABBOTINDIA,60.39
2026-03-23,ABCAPITAL,45.54
2026-03-23,ABCOTS,34.04
2026-03-23,ABDL,49.63
2026-03-23,ABFRL,51.46
2026-03-23,ABGSEC,89.55
2026-03-23,ABINFRA,80.73
2026-03-23,ABLBL,53.23
2026-03-23,ABREL,49.25
2026-03-23,ABSL10BANK,86.76
2026-03-23,ABSLAMC,45.1
2026-03-23,ABSLBANETF,71.54
2026-03-23,ABSLLIQUID,87.25
2026-03-23,ABSLMSCIN,99.68
2026-03-23,ABSLNN50ET,76.24
2026-03-23,ABSLPSE,68.89
2026-03-23,ACC,51.19
2026-03-23,ACCELYA,61.33
2026-03-23,ACCURACY,80.41
2026-03-23,ACE,58.37
2026-03-23,ACEINTEG,70.44
2026-03-23,ACI,26.05
2026-03-23,ACL,67.79
2026-03-23,ACMESOLAR,34.54
2026-03-23,ACUTAAS,43.15
2026-03-23,ADANIENSOL,78.93
2026-03-23,ADANIENT,34.99
2026-03-23,ADANIGREEN,28.88
2026-03-23,ADANIPORTS,50.62
2026-03-23,ADANIPOWER,36.58
2026-03-23,ADFFOODS,55.53
2026-03-23,ADL,60.85
2026-03-23,ADOR,71.34
2026-03-23,ADROITINFO,70.45
2026-03-23,ADSL,56.55
2026-03-23,ADVAIT,33.59
2026-03-23,ADVANCE,60.65
2026-03-23,ADVANIHOTR,73.02
2026-03-23,ADVENTHTL,51.18
2026-03-23,ADVENZYMES,60.02
2026-03-23,AEGISLOG,44.96
2026-03-23,AEGISVOPAK,31.96
2026-03-23,AEPL,83.56
2026-03-23,AEQUS,65.97
2026-03-23,AEROENTER,54.18
2026-03-23,AEROFLEX,34.7
2026-03-23,AERONEU,45.02
2026-03-23,AETHER,24.65
2026-03-23,AFCONS,61.98
2026-03-23,AFFLE,60.54
2026-03-23,AFFORDABLE,58.4
2026-03-23,AFSL,95.31
2026-03-23,AGARIND,60.95
2026-03-23,AGARWALEYE,47.26
2026-03-23,AGI,56.28
2026-03-23,AGIIL,34.59
2026-03-23,AGRITECH,93.44
2026-03-23,AGROPHOS,75.88
2026-03-23,AHCL,60.23
2026-03-23,AHLADA,78.55
2026-03-23,AHLEAST,88.89
2026-03-23,AHLUCONT,69.56
2026-03-23,AIAENG,42.98
2026-03-23,AIIL,24.13
2026-03-23,AIRAN,82.85
2026-03-23,AIROLAM,91.45
2026-03-23,AJANTPHARM,48.44
2026-03-23,AJAXENGG,65.25
2026-03-23,AJMERA,55.39
2026-03-23,AJOONI,73.73
2026-03-23,AKASH,70.1
2026-03-23,AKG,81.9
2026-03-23,AKI,92.4
2026-03-23,AKSHAR,77.0
2026-03-23,AKSHARCHEM,79.94
2026-03-23,AKSHOPTFBR,74.69
2026-03-23,AKUMS,56.84
2026-03-23,AKZOINDIA,33.93
2026-03-23,ALANKIT,62.97
2026-03-23,ALBERTDAVD,67.75
2026-03-23,ALEMBICLTD,58.75
2026-03-23,ALGOQUANT,17.67
2026-03-23,ALICON,53.87
2026-03-23,ALIVUS,60.2
2026-03-23,ALKALI,75.07
2026-03-23,ALKEM,45.22
2026-03-23,ALKYLAMINE,52.27
2026-03-23,ALLCARGO,71.89
2026-03-23,ALLDIGI,74.31
2026-03-23,ALLTIME,71.94
2026-03-23,ALMONDZ,72.53
2026-03-23,ALOKINDS,56.24
2026-03-23,ALPA,81.27
2026-03-23,ALPHA,71.86
2026-03-23,ALPHAETF,44.7
2026-03-23,ALPHAGEO,24.21
2026-03-23,ALPL30IETF,70.48
2026-03-23,AMAGI,80.85
2026-03-23,AMANTA,91.26
2026-03-23,AMBER,35.65
2026-03-23,AMBICAAGAR,78.85
2026-03-23,AMBIKCO,62.13
2026-03-23,AMBUJACEM,55.1
2026-03-23,AMDIND,54.13
2026-03-23,AMJLAND,37.12
2026-03-23,AMNPLST,64.7
2026-03-23,AMRUTANJAN,50.8
2026-03-23,ANANDRATHI,47.11
2026-03-23,ANANTRAJ,37.21
2026-03-23,ANDHRAPAP,70.86
2026-03-23,ANDHRSUGAR,46.41
2026-03-23,ANGELONE,32.18
2026-03-23,ANIKINDS,81.31
2026-03-23,ANMOL,81.39
2026-03-23,ANTELOPUS,17.56
2026-03-23,ANTGRAPHIC,90.01
2026-03-23,ANTHEM,64.14
2026-03-23,ANUHPHR,69.51
2026-03-23,ANUP,47.67
2026-03-23,ANURAS,56.74
2026-03-23,AONEGOLD,45.04
2026-03-23,AONELIQUID,96.7
2026-03-23,AONENIFTY,75.2
2026-03-23,AONESILVER,42.57
2026-03-23,AONETMMQ50,89.83
2026-03-23,AONETOTAL,40.77
2026-03-23,APARINDS,47.41
2026-03-23,APCL,49.64
2026-03-23,APCOTEXIND,54.72
2026-03-23,APEX,22.09
2026-03-23,APLAPOLLO,52.52
2026-03-23,APLLTD,54.12
2026-03-23,APOLLO,32.45
2026-03-23,APOLLOHOSP,61.76
2026-03-23,APOLLOPIPE,17.34
2026-03-23,APOLLOTYRE,42.18
2026-03-23,APOLSINHOT,75.18
2026-03-23,APTECHT,68.61
2026-03-23,APTUS,57.29
2026-03-23,AQYLON,99.99
2026-03-23,ARCHIDPLY,75.61
2026-03-23,ARCHIES,75.81
2026-03-23,ARE&M,52.35
2026-03-23,ARENTERP,27.82
2026-03-23,ARFIN,16.29
2026-03-23,ARIES,59.65
2026-03-23,ARIHANTCAP,60.76
2026-03-23,ARIHANTSUP,93.78
2026-03-23,ARIS,42.54
2026-03-23,ARKADE,56.08
2026-03-23,ARMANFIN,48.85
2026-03-23,AROGRANITE,87.76
2026-03-23,ARROWGREEN,39.29
2026-03-23,ARSSBL,53.18
2026-03-23,ARTEMISMED,62.99
2026-03-23,ARTNIRMAN,100.0
2026-03-23,ARVIND,45.14
2026-03-23,ARVINDFASN,51.63
2026-03-23,ARVSMART,52.47
2026-03-23,ASAHIINDIA,19.35
2026-03-23,ASAHISONG,55.26
2026-03-23,ASAL,56.39
2026-03-23,ASALCBR,53.01
2026-03-23,ASHAPURMIN,44.02
2026-03-23,ASHIANA,30.0
2026-03-23,ASHIMASYN,68.81
2026-03-23,ASHOKA,48.05
2026-03-23,ASHOKAMET,69.93
2026-03-23,ASHOKLEY,56.13
2026-03-23,ASIANENE,50.0
2026-03-23,ASIANHOTNR,65.56
2026-03-23,ASIANPAINT,50.99
2026-03-23,ASIANTILES,46.16
2026-03-23,ASKAUTOLTD,47.63
2026-03-23,ASMS,34.99
2026-03-23,ASPINWALL,97.19
2026-03-23,ASTEC,57.47
2026-03-23,ASTERDM,42.2
2026-03-23,ASTRAL,46.68
2026-03-23,ASTRAMICRO,31.2
2026-03-23,ASTRAZEN,57.51
2026-03-23,ASTRON,73.42
2026-03-23,ATALREAL,52.59
2026-03-23,ATAM,77.86
2026-03-23,ATGL,17.36
2026-03-23,ATHERENERG,23.85
2026-03-23,ATL,77.2
2026-03-23,ATLANTAA,61.12
2026-03-23,ATLANTAELE,55.21
2026-03-23,ATLASCYCLE,88.79
2026-03-23,ATUL,64.54
2026-03-23,ATULAUTO,48.16
2026-03-23,AUBANK,53.68
2026-03-23,AURIGROW,44.99
2026-03-23,AURIONPRO,49.92
2026-03-23,AUROPHARMA,48.05
