2026-07-19 12:45:58,529 | INFO | Nifty 100 Daily EMA Cross Reporter | Version 3.3.8 | Released 2026-04-17
2026-07-19 12:45:58,529 | INFO | Base directory: /home/runner/work/nifty100-reporter/nifty100-reporter
2026-07-19 12:45:58,529 | INFO | Loaded config. Email enabled: True | Recipients: 1
2026-07-19 12:45:58,633 | WARNING | NSE session bootstrap HTTP 403 (attempt 1/5) — refreshing NSE session cookie …
2026-07-19 12:46:08,746 | INFO | NSE session bootstrap status: 200
2026-07-19 12:46:08,746 | INFO | Downloading Nifty 100 universe from https://www.niftyindices.com/IndexConstituent/ind_nifty100list.csv
2026-07-19 12:46:08,862 | INFO | Universe download status: 200
2026-07-19 12:46:08,867 | INFO | Universe rows loaded: 100
2026-07-19 12:46:08,986 | INFO | Loaded history rows: 131754
2026-07-19 12:46:08,994 | INFO | yfinance history update: 100 symbols | 2026-07-16 → 2026-07-20
2026-07-19 12:46:08,994 | INFO | yfinance batch download: 100 symbols | 2026-07-16 → 2026-07-20
2026-07-19 12:46:08,996 | INFO | Failed to create TzCache, reason: Error creating TzCache folder: '/home/runner/.cache/py-yfinance' reason: [Errno 17] File exists: '/home/runner/.cache/py-yfinance'. TzCache will not be used. Tip: You can direct cache to use a different location with 'set_tz_cache_location(mylocation)'
2026-07-19 12:46:17,482 | INFO | yfinance raw shape: (2, 500)
2026-07-19 12:46:17,810 | INFO | yfinance parsed rows after date-filter: 200
2026-07-19 12:46:17,811 | INFO | New rows from yfinance: 200
2026-07-19 12:46:18,588 | INFO | Saved history rows: 131754 | file: /home/runner/work/nifty100-reporter/nifty100-reporter/data/nifty100_ohlcv_history.csv
2026-07-19 12:46:18,702 | INFO | Loaded history rows: 131754
2026-07-19 12:46:18,703 | INFO | Latest OHLCV data is from 2026-07-17
2026-07-19 12:46:18,729 | INFO | Latest Delivery data is from 2026-07-17
2026-07-19 12:46:18,774 | INFO | Delivery cache has 33 dates — skipping backfill.
2026-07-19 12:46:18,774 | INFO | Delivery fetch attempt [2/7] — URL: https://archives.nseindia.com/products/content/sec_bhavdata_full_17072026.csv
2026-07-19 12:46:20,419 | INFO | Delivery fetch FAILED for 2026-07-17 — HTTP 503 — URL: https://archives.nseindia.com/products/content/sec_bhavdata_full_17072026.csv
2026-07-19 12:46:20,419 | INFO | Delivery fetch attempt [3/7] — URL: https://archives.nseindia.com/products/content/sec_bhavdata_full_16072026.csv
2026-07-19 12:46:21,885 | INFO | Delivery fetch FAILED for 2026-07-16 — HTTP 503 — URL: https://archives.nseindia.com/products/content/sec_bhavdata_full_16072026.csv
2026-07-19 12:46:21,886 | INFO | Delivery fetch attempt [4/7] — URL: https://archives.nseindia.com/products/content/sec_bhavdata_full_15072026.csv
2026-07-19 12:46:23,379 | INFO | Delivery fetch FAILED for 2026-07-15 — HTTP 503 — URL: https://archives.nseindia.com/products/content/sec_bhavdata_full_15072026.csv
2026-07-19 12:46:23,379 | INFO | Delivery fetch attempt [5/7] — URL: https://archives.nseindia.com/products/content/sec_bhavdata_full_14072026.csv
2026-07-19 12:46:24,859 | INFO | Delivery fetch FAILED for 2026-07-14 — HTTP 503 — URL: https://archives.nseindia.com/products/content/sec_bhavdata_full_14072026.csv
2026-07-19 12:46:24,859 | INFO | Delivery fetch attempt [6/7] — URL: https://archives.nseindia.com/products/content/sec_bhavdata_full_13072026.csv
2026-07-19 12:46:26,413 | INFO | Delivery fetch FAILED for 2026-07-13 — HTTP 503 — URL: https://archives.nseindia.com/products/content/sec_bhavdata_full_13072026.csv
2026-07-19 12:46:26,413 | WARNING | No delivery file found in last 7 calendar days. Using fallback.
2026-07-19 12:46:26,413 | WARNING | Using delivery fallback: 5-day avg from cache.
2026-07-19 12:46:26,445 | INFO | Fallback delivery: 2391 symbols from 5 cached dates.
2026-07-19 12:46:26,446 | INFO | Delivery data: 2391 symbols | fallback=True
2026-07-19 12:46:46,457 | WARNING | NSE corp-actions bulk fetch failed (attempt 1/5): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=20) — retrying in 5s …
2026-07-19 12:47:11,518 | WARNING | NSE corp-actions bulk fetch failed (attempt 2/5): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=20) — retrying in 5s …
2026-07-19 12:47:36,612 | WARNING | NSE corp-actions bulk fetch failed (attempt 3/5): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=20) — retrying in 5s …
2026-07-19 12:48:01,677 | WARNING | NSE corp-actions bulk fetch failed (attempt 4/5): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=20) — retrying in 5s …
2026-07-19 12:48:26,751 | ERROR | NSE corp-actions bulk fetch failed after 5 attempts: HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=20)
2026-07-19 12:48:26,751 | WARNING | Corporate actions bulk fetch failed: HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=20)
2026-07-19 12:48:41,800 | WARNING | NSE corp-actions ABB fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:49:02,094 | WARNING | NSE corp-actions ADANIENSOL fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:49:22,380 | WARNING | NSE corp-actions ADANIENT fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:49:42,703 | WARNING | NSE corp-actions ADANIGREEN fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:50:02,745 | WARNING | NSE corp-actions ADANIGREEN fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:50:22,783 | ERROR | NSE corp-actions ADANIGREEN fetch failed after 3 attempts: HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15)
2026-07-19 12:50:37,841 | WARNING | NSE corp-actions ADANIPORTS fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:50:58,138 | WARNING | NSE corp-actions ADANIPOWER fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:51:18,434 | WARNING | NSE corp-actions AMBUJACEM fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:51:38,747 | WARNING | NSE corp-actions APOLLOHOSP fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:51:58,833 | WARNING | NSE corp-actions APOLLOHOSP fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:52:19,072 | WARNING | NSE corp-actions ASIANPAINT fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:52:39,117 | WARNING | NSE corp-actions ASIANPAINT fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:52:59,466 | WARNING | NSE corp-actions AXISBANK fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:53:19,731 | WARNING | NSE corp-actions BAJAJ-AUTO fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:53:40,024 | WARNING | NSE corp-actions BAJAJFINSV fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:54:00,307 | WARNING | NSE corp-actions BAJAJHLDNG fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:54:20,591 | WARNING | NSE corp-actions BAJFINANCE fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:54:40,900 | WARNING | NSE corp-actions BANKBARODA fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:55:01,180 | WARNING | NSE corp-actions BEL fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:55:21,437 | WARNING | NSE corp-actions BHARTIARTL fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:55:41,747 | WARNING | NSE corp-actions BOSCHLTD fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:56:02,057 | WARNING | NSE corp-actions BPCL fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:56:22,396 | WARNING | NSE corp-actions BRITANNIA fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:56:42,671 | WARNING | NSE corp-actions CANBK fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:57:02,963 | WARNING | NSE corp-actions CGPOWER fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:57:23,009 | WARNING | NSE corp-actions CGPOWER fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:57:43,317 | WARNING | NSE corp-actions CHOLAFIN fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:58:03,405 | WARNING | NSE corp-actions CHOLAFIN fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:58:23,459 | ERROR | NSE corp-actions CHOLAFIN fetch failed after 3 attempts: HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15)
2026-07-19 12:58:38,503 | WARNING | NSE corp-actions CIPLA fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:58:58,776 | WARNING | NSE corp-actions COALINDIA fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:59:19,037 | WARNING | NSE corp-actions CUMMINSIND fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:59:39,093 | WARNING | NSE corp-actions CUMMINSIND fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 12:59:59,138 | ERROR | NSE corp-actions CUMMINSIND fetch failed after 3 attempts: HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15)
2026-07-19 13:00:14,171 | WARNING | NSE corp-actions DIVISLAB fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:00:34,217 | WARNING | NSE corp-actions DIVISLAB fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:00:54,358 | ERROR | NSE corp-actions DIVISLAB fetch failed after 3 attempts: HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15)
2026-07-19 13:01:09,413 | WARNING | NSE corp-actions DLF fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:01:29,658 | WARNING | NSE corp-actions DMART fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:01:49,765 | WARNING | NSE corp-actions DMART fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:02:10,043 | WARNING | NSE corp-actions DRREDDY fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:02:30,109 | WARNING | NSE corp-actions DRREDDY fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:02:50,355 | WARNING | NSE corp-actions EICHERMOT fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:03:10,440 | WARNING | NSE corp-actions EICHERMOT fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:03:30,592 | WARNING | NSE corp-actions ENRIN fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:03:50,679 | WARNING | NSE corp-actions ENRIN fetch failed (attempt 2/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:04:10,980 | WARNING | NSE corp-actions ETERNAL fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:04:31,279 | WARNING | NSE corp-actions GAIL fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:04:51,619 | WARNING | NSE corp-actions GODREJCP fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:05:11,924 | WARNING | NSE corp-actions GRASIM fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:05:32,260 | WARNING | NSE corp-actions HAL fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:05:52,535 | WARNING | NSE corp-actions HCLTECH fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:06:12,825 | WARNING | NSE corp-actions HDFCAMC fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:06:33,133 | WARNING | NSE corp-actions HDFCBANK fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:06:53,427 | WARNING | NSE corp-actions HDFCLIFE fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:07:13,678 | WARNING | NSE corp-actions HINDALCO fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:07:33,939 | WARNING | NSE corp-actions HINDUNILVR fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:07:54,234 | WARNING | NSE corp-actions HINDZINC fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
2026-07-19 13:08:14,599 | WARNING | NSE corp-actions HYUNDAI fetch failed (attempt 1/3): HTTPSConnectionPool(host='www.nseindia.com', port=443): Read timed out. (read timeout=15) — retrying in 5s …
